Cases,Machine,Operator,Days
65,1,1,1
58,1,1,2
63,1,1,3
57,1,1,4
66,1,1,5
68,1,2,1
62,1,2,2
75,1,2,3
64,1,2,4
70,1,2,5
56,1,3,1
65,1,3,2
58,1,3,3
70,1,3,4
64,1,3,5
45,1,4,1
56,1,4,2
54,1,4,3
48,1,4,4
60,1,4,5
74,2,1,1
81,2,1,2
76,2,1,3
80,2,1,4
68,2,1,5
69,2,2,1
76,2,2,2
80,2,2,3
78,2,2,4
73,2,2,5
52,2,3,1
56,2,3,2
62,2,3,3
58,2,3,4
51,2,3,5
73,2,4,1
78,2,4,2
83,2,4,3
75,2,4,4
76,2,4,5
69,3,1,1
83,3,1,2
74,3,1,3
78,3,1,4
80,3,1,5
63,3,2,1
70,3,2,2
72,3,2,3
68,3,2,4
75,3,2,5
81,3,3,1
72,3,3,2
73,3,3,3
76,3,3,4
70,3,3,5
67,3,4,1
79,3,4,2
73,3,4,3
77,3,4,4
71,3,4,5
